Invoice Date,Invoice Number,Item #,Size,Description,NDC/UPC,Ship Qty,Invoice $,Type
12/1/2025,7449961448,3965316,60 EA,JANUMET TB 50-1000MG 60,6057761,3,$952.89 ,Branded Drug
12/1/2025,7449961448,4341327,5X3ML,INS LANTUS SOLOSTAR SY 100U/ML5X3,88221905,3,$278.31 ,Branded Drug
12/1/2025,7449961448,5009444,30 EA,JARDIANCE TB 10MG 30,597015230,3,"$1,817.49 ",Branded Drug
12/1/2025,7449961448,5009469,30 EA,JARDIANCE TB 25MG 30,597015330,3,"$1,817.49 ",Branded Drug
12/1/2025,7449961448,5884937,4X0.5ML,ZEPBOUND SY 7.5MG/0.5ML 4 PPN,2248480,1,"$1,045.63 ",Branded Drug
12/2/2025,7450125574,3878485,30 EA,JANUVIA TB 50MG 30UU,6011231,4,"$1,270.52 ",Branded Drug
12/2/2025,7450125574,3878501,30 EA,JANUVIA TB 100MG 30UU,6027731,4,"$1,270.52 ",Branded Drug
12/2/2025,7450125574,4806725,60 EA,ELIQUIS TB 5MG 60,3089421,6,"$3,501.30 ",Branded Drug
12/2/2025,7450125574,5009469,30 EA,JARDIANCE TB 25MG 30,597015330,3,"$1,817.49 ",Branded Drug
12/2/2025,7450125574,5027016,4X0.5ML,TRULICITY SY 0.75MG/0.5ML 4 PPN,2143380,3,"$2,850.51 ",Branded Drug
12/2/2025,7450125574,5222948,30 EA,VRAYLAR CP 1.5MG 30,61874011530,1,"$1,461.92 ",Branded Drug
12/2/2025,7450125574,5423470,30 EA,BIKTARVY 50-200-25MG TB 30 CPLT,61958250101,1,"$4,110.70 ",Branded Drug
12/2/2025,7450125574,5787197,4X0.5ML,MOUNJARO SY 7.5MG/0.5ML 4 PPN,2148480,1,"$1,039.28 ",Branded Drug
12/2/2025,7450125574,5787205,4X0.5ML,MOUNJARO SY 10MG/0.5ML 4 PPN,2147180,3,"$3,117.84 ",Branded Drug
12/2/2025,7450143906,3878501,30 EA,JANUVIA TB 100MG 30UU,6027731,3,$952.89 ,Branded Drug
12/2/2025,7450143906,3965316,60 EA,JANUMET TB 50-1000MG 60,6057761,3,$953.39 ,Branded Drug
