"Drug Name","NDC #","Total Rxs","Quantity","Total",
"CONTOUR NEXT TEST  STRIPS*****","00193-7311-50","173","21550","22379.32"
"RESTASIS 0.05% EMULSION ***","00023-9163-60","76","8640","86299.23"
"ELIQUIS 5MG TAB ***","00003-0894-21","56","6660","42650.99"
"JARDIANCE 25MG TAB ***","00597-0153-30","82","5760","68186.05"
"XIIDRA 5 % OPHTHALMIC SOLUTION*****","24208-0911-12","57","4980","57073.48"
"JARDIANCE 10MG TAB ***","00597-0152-30","66","4740","60718.36"
"JANUMET 50-1000MG TABLET","00006-0577-61","24","3000","15421.64"
"JANUVIA 100MG TAB","00006-0277-31","30","2520","16852.35"
"ACCU-CHEK GUIDE IN VITRO STRIP","65702-0711-10","18","2100","785.47"
"FARXIGA 10MG TABLET****","00310-6210-30","29","2010","25878.03"
"VASCEPA 1GM CAPSULE","52937-0001-20","10","1710","4762.59"
"LINZESS 145MCG CAPSULE***","00456-1201-30","38","1500","17574.57"
"FLUTICASONE-SALMETEROL 250-50 MCG/ACT INH AEROSOL","00054-0327-56","19","1500","1593.83"
"LINZESS 290MCG CAP ***","00456-1202-30","24","1380","18868.98"
"ELIQUIS 2.5MG TAB ***","00003-0893-21","12","1320","8855.60"
"JANUVIA 50MG TABLET","00006-0112-31","19","1260","8065.74"
"TRELEGY ELLIPTA 100-62.5-25MCG/INH AEROSOL","00173-0887-10","10","1080","11634.36"
"LANTUS SOLOSTAR 100UNIT/ML INJECTION******","00088-2219-05","59","1017","6300.65"
"BREO ELLIPTA 100-25 MCG/ACT INH AEROSOL","00173-0859-10","7","900","5688.32"
"KERENDIA 10 MG TABLET","50419-0540-01","10","900","19904.11"
"XARELTO 20MG TAB","50458-0579-30","10","900","10410.91"
"ONETOUCH ULTRA BLUE  STRIP*****","53885-0244-50","6","900","1342.47"
"FREESTYLE LITE TEST  STRIP*****","99073-0708-22","7","900","1190.33"
"LINZESS 72 MCG ORAL CAPSULE","00456-1203-30","17","810","10337.41"
"JANUMET 50-500 MG ORAL TABLET","00006-0575-61","6","720","3730.18"
"RYBELSUS 14MG TABLET","00169-4314-30","12","720","22556.30"
"GEMTESA 75MG TABLET","73336-0075-30","11","630","10133.75"
"MYRBETRIQ 50MG TABLET***","00469-2602-30","11","630","9271.26"
"METHYLIN 5 MG/5ML ORAL SOLUTION","59630-0750-50","2","600","67.39"
"BASAGLAR KWIKPEN 100UNIT/ML INJECTION*****","00002-7715-59","44","579","11827.54"
"LOKELMA 10GM PACK","00310-1110-30","19","570","15936.29"
"NEURONTIN 400 MG ORAL CAPSULE","58151-0283-01","2","540","4320.47"
"TRELEGY ELLIPTA 200-62.5-25 MCG/ACT INHALATION AER","00173-0893-10","9","540","5932.96"
"TRADJENTA 5MG TAB ***","00597-0140-30","6","540","8807.08"
"RYBELSUS 3MG TABLET","00169-4303-30","8","480","15274.06"
"SYNJARDY XR 12.5-1000 MG TABLET ER","00597-0300-45","3","450","2915.19"
"RYBELSUS 7MG TABLET","00169-4307-30","7","420","12953.75"
"CEQUA 0.09% SOLUTION","47335-0506-96","4","360","3643.33"
"MESALAMINE ER 0.375GCAPSULE","68382-0452-19","3","360","108.23"
"ZENPEP 40000-126000U CAPSULE DR","73562-0114-01","2","360","5663.20"
"XARELTO 15MG TAB","50458-0578-30","4","360","3335.77"
"NEXIUM 40MG CAPSULE****","00186-5040-31","4","360","3112.35"
"BUDESONIDE/FORMOTEROL 160 /4.5 MCG (SYMBICORT)","00310-7370-20","21","336.6","5506.36"
"FARXIGA 5MG TABLET","00310-6205-30","5","330","4619.65"
"SYNJARDY 12.5-1000MG TABLET****","00597-0168-60","3","330","2966.32"
"OZEMPIC (0.25 OR 0.5 MG/DOSE) 2 MG/3ML PEN-INJECTOR","00169-4181-13","84","309","98833.94"
"SYMBICORT 160-4.5MCG/ACT AEROSOL****","00186-0370-20","24","306","6985.25"
"INCRUSE ELLIPTA 62.5MCG/INH AEROSOL*****","00173-0873-10","8","300","3352.48"
"LOKELMA 5GM PACK","00310-1105-30","8","300","8305.19"
"BIKTARVY 50-200-25MG TABLET","61958-2501-01","10","300","40816.45"
"VRAYLAR 1.5MG CAPSULE","61874-0115-30","10","300","14879.62"
"SYNJARDY 5-1000MG TABLET XR","00597-0290-74","2","270","2703.90"
"JANUMET XR 100-1000MG TABLET","00006-0081-31","3","270","2761.52"
"XIGDUO XR 10-1000MG TABLET","00310-6280-30","3","270","4964.97"
"CREON 36000UNIT CAPSULE","00032-3016-13","1","270","3242.10"
"CREON 24000-76000 UNIT CAPSULE DR","00032-2636-01","3","270","2215.77"
"LO LOESTRIN FE 1 MG-10 MCG / 10 MCG ORAL TABLET","00430-0420-14","3","252","1683.10"
"BUDESONIDE-FORMOTEROL FUMARATE 80-4.5MCG/ACT AEROSOL","00310-7372-20","22","244.8","2928.74"
"ZORYVE 0.3 % EXTERNAL CREAM","80610-0130-60","4","240","3604.80"
"JANUVIA 25MG TABLET","00006-0221-31","6","240","2070.56"
"ZORYVE 0.3 % EXTERNAL FOAM","80610-0430-60","4","240","3566.36"
