
"Purchases by Type","2057216665 - HILDA PHARMACY LLC"

"Invoice Date","Invoice Number","Item #","Size","Description","NDC/UPC","Ship Qty","Invoice $","Type"
"2/2/26","7458949691","5642426","30 EA","XCOPRI TB 200MG 30             C5","71699020030","1","$1,217.44","Branded Drug"
"2/2/26","7458949692","3878485","30 EA","JANUVIA TB 50MG 30UU","6011231","5","$1,604.65","Branded Drug"
"2/2/26","7458949692","3878501","30 EA","JANUVIA TB 100MG 30UU","6027731","9","$2,888.37","Branded Drug"
"2/2/26","7458949692","4584736","30 GM","PREMARIN CR 0.625MG/GM 30GM W/APL","46087221","1","$460.27","Branded Drug"
"2/2/26","7458949692","4785069","30 EA","LINZESS CP 290MCG 30","456120230","6","$1,648.26","Branded Drug"
"2/2/26","7458949692","5009444","30 EA","JARDIANCE TB 10MG 30","597015230","9","$3,063.42","Branded Drug"
"2/2/26","7458949692","5009469","30 EA","JARDIANCE TB 25MG 30","597015330","9","$3,063.42","Branded Drug"
"2/2/26","7458949692","5345988","60 EA","SYNJARDY XR TB 12.5-1000MG 60","597030045","3","$1,021.14","Branded Drug"
"2/2/26","7458949692","5707542","3 ML","OZEMPIC SY 1MG 3ML PPN","169413013","3","$2,997.75","Branded Drug"
"2/2/26","7458949692","5734116","30 EA","KERENDIA TB 20MG 30","50419054101","3","$2,087.46","Branded Drug"
"2/2/26","7458949692","5737754","2 EA","KLOXXADO SN 8MG 2","59467067901","3","$364.68","Branded Drug"
"2/2/26","7458949692","5787221","4X0.5ML","MOUNJARO SY 15MG/0.5ML 4 PPN","2145780","1","$1,081.58","Branded Drug"
"2/2/26","7458949692","5884937","4X0.5ML","ZEPBOUND SY 7.5MG/0.5ML 4 PPN","2248480","1","$1,056.49","Branded Drug"
"2/2/26","7458949692","5905997","100 EA","CREON CP 24000U 100 DR","32263601","3","$2,545.65","Branded Drug"
"2/3/26","7459133940","5222948","30 EA","VRAYLAR CP 1.5MG 30","61874011530","1","$1,550.96","Branded Drug"
"2/3/26","7459133940","5307012","5X3ML","INS BASAGLAR K/P SY 100U/ML 5X3ML","2771559","3","$952.17","Branded Drug"
"2/3/26","7459133940","5495452","30 EA","LOKELMA PK 5GM 30 OSUS PWD","310110530","1","$862.97","Branded Drug"
"2/3/26","7459133940","5530787","2.5 ML","ROCKLATAN DR0.02-0.005%2.5ML OPTH","70727052925","3","$1,062.57","Branded Drug"
"2/3/26","7459133940","5603592","8 EA","NURTEC ODT TD 75MG 8 BPK","72618300002","2","$2,091.44","Branded Drug"
"2/3/26","7459133940","5671854","4X0.5ML","TRULICITY SY 3MG/0.5ML 4 PPN","2223680","1","$979.24","Branded Drug"
"2/3/26","7459133940","5707542","3 ML","OZEMPIC SY 1MG 3ML PPN","169413013","6","$5,995.50","Branded Drug"
"2/3/26","7459133940","5753009","30 EA","RYBELSUS TB 14MG 30UU 1/D","169431430","3","$2,997.75","Branded Drug"
"2/3/26","7459133940","5787189","4X0.5ML","MOUNJARO SY 5MG/0.5ML 4 PPN","2149580","5","$5,407.90","Branded Drug"
"2/3/26","7459154297","3682028","30 EA","ROZEREM TB 8MG 30","64764080530","1","$378.33","Branded Drug"
"2/3/26","7459154297","4341327","5X3ML","INS LANTUS SOLOSTAR SY 100U/ML5X3","88221905","5","$468.65","Branded Drug"
"2/3/26","7459154297","4418927","90 EA","SYNTHROID TB 75MCG 90","74518290","1","$152.21","Branded Drug"
"2/3/26","7459154297","4419065","90 EA","SYNTHROID TB 125MCG 90","74706890","1","$152.25","Branded Drug"
"2/3/26","7459154297","5787197","4X0.5ML","MOUNJARO SY 7.5MG/0.5ML 4 PPN","2148480","3","$3,244.74","Branded Drug"
"2/4/26","7459338519","3965316","60 EA","JANUMET TB 50-1000MG 60","6057761","20","$6,418.60","Branded Drug"
"2/4/26","7459338519","4219325","60 EA","RESTASIS DR 0.05%60X0.4ML OPTH PF","23916360","32","$20,092.16","Branded Drug"
"2/4/26","7459338519","4439485","30 EA","TRADJENTA TB 5MG 30","597014030","10","$5,106.40","Branded Drug"
"2/4/26","7459338519","4756680","30 EA","MYRBETRIQ ER TB 50MG 30","469260230","3","$1,342.92","Branded Drug"
"2/4/26","7459338519","4791794","120 EA","VASCEPA GC 1GM 120 SFG","52937000120","6","$2,068.80","Branded Drug"
"2/4/26","7459338519","4806691","60 EA","ELIQUIS TB 2.5MG 60","3089321","20","$6,721.80","Branded Drug"
"2/4/26","7459338519","4806725","60 EA","ELIQUIS TB 5MG 60","3089421","12","$4,033.08","Branded Drug"
"2/4/26","7459338519","5036371","30 EA","XIGDUO XR TB 10-1000MG 30","310628030","4","$2,332.92","Branded Drug"
"2/4/26","7459338519","5043658","30 EA","ARNUITY ELLIPTA IN 100MCG 30INH","173087410","2","$405.52","Branded Drug"
"2/4/26","7459338519","5047667","30 EA","FARXIGA TB 10MG 30","310621030","6","$2,204.58","Branded Drug"
"2/4/26","7459338519","5056866","30 EA","FARXIGA TB 5MG 30","310620530","10","$3,674.30","Branded Drug"
"2/4/26","7459338519","5307012","5X3ML","INS BASAGLAR K/P SY 100U/ML 5X3ML","2771559","20","$6,347.80","Branded Drug"
"2/4/26","7459338519","5495452","30 EA","LOKELMA PK 5GM 30 OSUS PWD","310110530","3","$2,588.91","Branded Drug"
"2/4/26","7459338519","5495460","30 EA","LOKELMA PK 10GM 30 OSUS PWD","310111030","7","$6,040.79","Branded Drug"
"2/4/26","7459338519","5499637","60 EA","CEQUA DR 0.09% 60X0.25ML OPTH","47335050696","5","$3,167.40","Branded Drug"
"2/4/26","7459338519","5605993","30 EA","NEXLETOL TB 180MG 30","72426011803","3","$1,262.34","Branded Drug"
"2/4/26","7459338519","5646799","30 EA","NEXLIZET TB 180MG 30","72426081803","3","$1,262.34","Branded Drug"
"2/4/26","7459338519","5705280","30 EA","GEMTESA TB 75MG 30 1/D","73336007530","10","$5,017.30","Branded Drug"
"2/4/26","7459338519","5734090","30 EA","KERENDIA TB 10MG 30","50419054001","10","$6,958.20","Branded Drug"
"2/4/26","7459338519","5787197","4X0.5ML","MOUNJARO SY 7.5MG/0.5ML 4 PPN","2148480","12","$12,978.96","Branded Drug"
"2/4/26","7459338519","5858964","3 ML","MIEBO DR 1.338G/ML 3ML STERILE SL","24208037705","20","$16,063.80","Branded Drug"
"2/4/26","7459338519","5953658","60 EA","XIIDRA DR 5% 12X5X0.2ML PF","24208091112","24","$17,287.20","Branded Drug"
"2/4/26","7459360114","5009469","30 EA","JARDIANCE TB 25MG 30","597015330","9","$3,063.42","Branded Drug"
"2/4/26","7459360114","5671862","4X0.5ML","TRULICITY SY 4.5MG/0.5ML 4 PPN","2318280","3","$2,937.72","Branded Drug"
"2/4/26","7459360114","5787213","4X0.5ML","MOUNJARO SY 12.5MG/0.5ML 4 PPN","2146080","1","$1,081.58","Branded Drug"
"2/5/26","7459540750","3163219","60 EA","ADVAIR DISKUS IN 250-50MCG 60","173069600","3","$571.20","Branded Drug"
"2/5/26","7459540750","4341509","7.5 ML","LUMIGAN DR 0.01% 7.5ML","23320508","2","$1,571.84","Branded Drug"
