Processor,BIN
06CAREMARK,261
ABARCA,610674
ABARCA,19595
ABARCA,19587
ABARCA,26696
ABARCA,611791
ACLAIM,5848
AHCS,27984
AHCS,20156
AL MED,4146
ALLWIN,4766
AMWINSRX,15178
AMWINSRX,16341
AMWINSRX,13527
ARG/HUM,600428
ARG/HUM,610209
ARG/HUM,18810
ARG/HUM,18265
ARG/HUM,19645
ARG/HUM,19439
ARG/HUM,12323
ARG/HUM,12353
ARG/HUM,610220
ARG/HUM,610647
ARG/HUM,610141
ARG/HUM,610631
ARG/HUM,11834
ARG/HUM,22675
ARG/HUM,21700
ARG/HUM,19653
ARG/HUM,19660
ARG/HUM,19678
ARG/HUM,15292
ARG/HUM,20669
ARG/HUM,20867
ARG/HUM,19158
ARG/HUM,17655
ARG/HUM,18232
ARG/HUM,22055
ARG/HUM,27430
ARG/HUM,18133
ARG/HUM,21106
ARG/HUM,610106
ARG/HUM,22634
ARG/HUM,610649
ARG/HUM,16978
ARG/HUM,18612
ARG/HUM,17480
ARG/HUM,15764
ARG/HUM,17309
ARG/HUM,18927
ARG/HUM,15581
ARG/HUM,15599
ARG/HUM,18398
ARG/HUM,610225
ARG/HUM,23104
ARG/HUM,19520
ARG/HUM,22105
ARG/HUM,610728
ARG/HUM,17829
ARG/HUM,17878
ARG/HUM,22071
ARG/HUM,19330
ARG/HUM,610367
ARG/HUM,17317
ARG/HUM,18323
ARG/HUM,610280
ARG/HUM,13824
ARG/HUM,610709
ARG/HUM,16961
ARG/HUM,15954
ARG/HUM,610272
ARG/HUM,610245
ASSISTRX,24532
AVENTUM,19512
BAYVRIO,611793
BAYVRIO,19611
BAYVRIO,25524
BCBS MS,4583
BENECARD,14179
BENECARD,16333
BENECARD,16912
BENECARD,20024
BLINK,18050
CAPRXTEST,999999
CAREMARK,610502
CAREMARK,1884
CAREMARK,610591
CAREMARK,610029
CAREMARK,4336
CAREMARK,610415
CAREMARK,610468
CAREMARK,610473
CAREMARK,601475
CAREMARK,20099
CAREMARK,20107
CAREMARK,20123
CAREMARK,25771
CAREMARK,12114
CAREMARK,610017
CAREMARK,21007
CAREMARK,21338
CAREMARK,13089
CAREMARK,600042
CAREMARK,12189
CAREMARK,13303
CAREMARK,26150
CAREMARK,27570
CAREMARK,4245
CAREMARK,610474
CAREMARK,603604
CAREMARK,610239
CAREMARK,610449
CAREMARK,400042
CAREMARK,6144
CAREMARK,610009
CAREMARK,27547
CAREMARK,20115
CAREMARK,20388
CAREMARK,20396
CAREMARK,640468
CAREMARK,12147
CAREMARK,12320
CAREMARK,25201
CAREMARK,8514
CAREMARK,27555
CAREMARK,610026
CAREMARK,14046
CAREMARK,610477
CAREMARK,7093
CAREMARK,610130
CATAMARAN,610554
CATAMARAN,601683
CATAMARAN,610523
CATAMARAN,17399
CATAMARAN,14189
CATAMARAN,60646
CATAMARAN,10876
CATAMARAN,11248
CATAMARAN,610124
CATAMARAN,1053
CATAMARAN,610140
CATAMARAN,4758
CATAMARAN,8234
CATAMARAN,20792
CATAMARAN,610622
CATAMARAN,9806
CATAMARAN,9803
CATAMARAN,9813
CATAMARAN,195
CATAMARAN,6803
CATAMARAN,9209
CATAMARAN,9680
CATAMARAN,9802
CATAMARAN,11883
CATAMARAN,1883
CATAMARAN,610397
CATAMARAN,12642
CERVEY,26134
CERVEY,14252
CERVEY,23848
CERVEY,15490
CERVEY,18422
CERVEY,22170
CERVEY,27042
CERVEY,19264
CERVEY,25979
CERVEY,15433
CERVEY,26663
CERVEY,28330
CERVEY,28158
CERVEY,25862
CERVEY,25722
CERVEY,12528
CERVEY,15334
CERVEY,18893
CIRRUS,17457
CITIZENSRX,21809
CONDNT,610084
CONDUENT,9555
CONDUENT,26571
CONDUENT,23526
CONDUENT,24822
NYM,4740
NYM,610242
CT MED,610480
DANW,610363
DMAP,610452
DRX,17837
DRX,25846
DRX,610568
DRX,25060
DRX,26282
DRX,15202
DRX,23278
DRX,22849
DRX,13907
DRX,10439
DRX,26408
DRX,26259
DRX,24847
DRX,25184
DRX,26431
DRX,18539
DRX,20529
DRX,20982
DRX,26168
DRX,610658
DRX,900047
DRX,610331
DRX,23095
DRX,23914
DRX,21544
DRX,610194
DRX,22717
DRX,22709
DRX,18141
DRX,610219
DRX,18357
DRX,18456
DRX,20008
DRX,20222
DRX,18555
DRX,18695
DRX,23336
DRX,610086
DRX,16739
