"Drug Name","NDC #","Total Rxs","Quantity","Total",
"CONTOUR NEXT TEST  STRIPS*****","00193-7311-50","295","37350","38757.82"
"RESTASIS 0.05% EMULSION ***","00023-9163-60","140","15840","159247.64"
"ELIQUIS 5MG TAB ***","00003-0894-21","96","11220","83776.18"
"JARDIANCE 25MG TAB ***","00597-0153-30","141","9870","144556.69"
"XIIDRA 5 % OPHTHALMIC SOLUTION*****","24208-0911-12","95","7980","91028.86"
"JARDIANCE 10MG TAB ***","00597-0152-30","111","7680","117113.50"
"JANUMET 50-1000MG TABLET","00006-0577-61","44","5400","27782.35"
"JANUVIA 100MG TAB","00006-0277-31","52","4200","32729.05"
"FARXIGA 10MG TABLET****","00310-6210-30","58","4080","64334.10"
"VASCEPA 1GM CAPSULE","52937-0001-20","21","3780","10478.36"
"ACCU-CHEK GUIDE IN VITRO STRIP","65702-0711-10","26","3200","1198.03"
"LINZESS 145MCG CAPSULE***","00456-1201-30","65","2610","37134.94"
"ELIQUIS 2.5MG TAB ***","00003-0893-21","25","2580","20774.44"
"FLUTICASONE-SALMETEROL 250-50 MCG/ACT INH AEROSOL","00054-0327-56","32","2400","2490.36"
"TRELEGY ELLIPTA 100-62.5-25MCG/INH AEROSOL","00173-0887-10","21","2340","25033.59"
"LINZESS 290MCG CAP ***","00456-1202-30","41","2250","32616.61"
"ONETOUCH ULTRA BLUE  STRIP*****","53885-0244-50","16","2200","3282.16"
"JANUVIA 50MG TABLET","00006-0112-31","31","2100","16533.60"
"FREESTYLE LITE TEST  STRIP*****","99073-0708-22","14","1700","2271.75"
"BREO ELLIPTA 100-25 MCG/ACT INH AEROSOL","00173-0859-10","13","1620","10214.97"
"KERENDIA 10 MG TABLET","50419-0540-01","17","1530","33374.82"
"BASAGLAR KWIKPEN 100UNIT/ML INJECTION*****","00002-7715-59","97","1461","29767.96"
"XARELTO 20MG TAB","50458-0579-30","17","1410","19869.39"
"LANTUS SOLOSTAR 100UNIT/ML INJECTION******","00088-2219-05","78","1230","7621.14"
"GEMTESA 75MG TABLET","73336-0075-30","23","1230","19559.02"
"LINZESS 72 MCG ORAL CAPSULE","00456-1203-30","27","1230","17946.05"
"TRELEGY ELLIPTA 200-62.5-25 MCG/ACT INHALATION AER","00173-0893-10","18","1200","12944.21"
"SYNJARDY XR 12.5-1000 MG TABLET ER","00597-0300-45","8","1170","9620.34"
"JANUMET 50-500 MG ORAL TABLET","00006-0575-61","10","1080","5591.15"
"RYBELSUS 14MG TABLET","00169-4314-30","18","1080","33802.88"
"TRADJENTA 5MG TAB ***","00597-0140-30","11","990","16111.72"
"SYNJARDY 12.5-1000MG TABLET****","00597-0168-60","7","930","8916.92"
"LOKELMA 10GM PACK","00310-1110-30","30","900","24912.94"
"MYRBETRIQ 50MG TABLET***","00469-2602-30","18","900","13227.54"
"RYBELSUS 3MG TABLET","00169-4303-30","13","810","25550.62"
"RYBELSUS 7MG TABLET","00169-4307-30","14","810","25108.53"
"FARXIGA 5MG TABLET","00310-6205-30","11","750","12461.43"
"CEQUA 0.09% SOLUTION","47335-0506-96","7","660","6592.82"
"NEXIUM 40MG CAPSULE****","00186-5040-31","7","660","5686.43"
"XARELTO 15MG TAB","50458-0578-30","7","630","8276.24"
"BUDESONIDE/FORMOTEROL 160 /4.5 MCG (SYMBICORT)","00310-7370-20","38","612","9909.26"
"ADVAIR DISKUS 250-50MCG/DOSE AEROSOL 60EA***","00173-0696-00","4","600","1832.78"
"MESALAMINE ER 0.375GCAPSULE","68382-0452-19","5","600","189.17"
"METHYLIN 5 MG/5ML ORAL SOLUTION","59630-0750-50","2","600","67.39"
