"Drug Name","NDC #","Total Rxs","Quantity","Total",
"GAVILYTE G SOLUTION ***","43386-0090-19","8","32000","140.14"
"CONTOUR NEXT TEST  STRIPS*****","00193-7311-50","56","7700","8082.21"
"AMMONIUM LACTATE 12 % EXTERNAL CREAM","51672-1301-00","9","5005","327.39"
"ATORVASTATIN 20MG TABLET","70377-0078-13","53","4050","324.89"
"METFORMIN 1000MG TABLET","70010-0065-99","28","3420","157.27"
"ATORVASTATIN 40MG TABLET","70377-0079-13","41","3210","289.17"
"AMMONIUM LACTATE 12 % EXTERNAL LOTION","51672-1300-09","8","3200","162.99"
"METFORMIN HCL 500 MG TABLET","70010-0063-10","25","3060","115.26"
"OMEPRAZOLE 40MG CAPSULE DR","68462-0397-10","48","2954","304.92"
"AMLODIPINE 5MG TABLET ***","69097-0127-15","37","2910","155.47"
"PEN NEEDLES ALL","08290-3201-22","21","2900","1790.57"
"AMLODIPINE 10MG TABLET","69097-0128-15","40","2670","131.90"
"TAMSULOSIN 0.4MG CAPSULE","65862-0598-05","30","2465","212.43"
"KETOCONAZOLE 2 % EXTERNAL SHAMPOO","70954-0662-10","19","2280","208.15"
"RESTASIS 0.05% EMULSION ***","00023-9163-60","23","2220","22664.62"
"OXYCODONE-APAP 10-325MG TABLET","47781-0230-05","22","2192","423.98"
"ELIQUIS 5MG TAB ***","00003-0894-21","16","2100","9556.33"
"ATORVASTATIN 80MG  TABLET","70377-0080-13","26","2070","221.69"
"PANTOPRAZOLE 40MG TAB ***","65862-0560-99","33","2039","243.88"
"ALCOHOL PADS ULTICARE","08222-4400-06","14","2000","99.61"
"CHLORHEXIDINE 0.12% SOLUTION ***","00116-2001-16","4","1892","21.39"
"GABAPENTIN 300 MG CAPSULE","67877-0223-05","26","1890","113.53"
"JARDIANCE 25MG TAB ***","00597-0153-30","27","1830","14456.89"
"AMMONIUM LACTATE 12 % EXTERNAL CREAM","51672-1301-04","8","1820","116.60"
"JARDIANCE 10MG TAB ***","00597-0152-30","23","1740","13865.43"
"FAMOTIDINE 20MG TABLET","67877-0842-10","22","1638","91.72"
"NA SULFATE-K SULFATE-MG SULF 17.5-3.13-1.6 GM/177ML ORAL SOLUTION","67877-0725-92","4","1416","194.66"
