"Drug Name","NDC #","QOH","Total Rxs","Quantity","Acq Cost","Total","Margin","Profit Pct","Min QOH","Pkg Size",
"GAVILYTE G SOLUTION ***","43386-0090-19","-1352001","4","16000","160.00","44.75","-257.54%","-72.03%","0","4000"
"CONTOUR NEXT TEST  STRIPS*****","00193-7311-50","-118000","61","7650","10710.00","8004.31","-33.8%","-25.26%","0","50"
"AMMONIUM LACTATE 12 % EXTERNAL LOTION","51672-1300-09","-172400","14","5600","1400.00","264.06","-430.18%","-81.14%","0","400"
"ATORVASTATIN 40MG TABLET","70377-0079-13","-21690","63","4950","24578.40","518.72","-4638.28%","-97.89%","0","1000"
"CHLORHEXIDINE 0.12% SOLUTION ***","00116-2001-16","-106425","10","4730","1000.00","58.51","-1609.11%","-94.15%","0","473"
"ALCOHOL PADS ULTICARE","08222-4400-06","-210500","27","4500","2925.00","214.97","-1260.65%","-92.65%","0","100"
"AMLODIPINE 5MG TABLET ***","69097-0127-15","-102795","48","3990","5935.80","157.10","-3678.36%","-97.35%","0","1000"
"GABAPENTIN 300 MG CAPSULE","67877-0223-05","-14310","35","3600","4119.84","222.25","-1753.7%","-94.61%","0","500"
"METFORMIN 1000MG TABLET","70010-0065-99","-20414","30","3450","4278.40","185.50","-2206.42%","-95.66%","0","1000"
"ATORVASTATIN 20MG TABLET","70377-0078-13","-16098","41","3120","15491.84","217.26","-7030.55%","-98.6%","0","1000"
"METFORMIN HCL 500 MG TABLET","70010-0063-10","-24116","25","3090","1870.82","48.63","-3747.05%","-97.4%","0","1000"
"AMMONIUM LACTATE 12 % EXTERNAL CREAM","51672-1301-00","-105105","8","3080","560.00","195.65","-186.23%","-65.06%","0","385"
"OMEPRAZOLE 40MG CAPSULE DR","68462-0397-10","-91337","47","2587","16453.32","248.37","-6524.52%","-98.49%","0","1000"
"ELIQUIS 5MG TAB ***","00003-0894-21","-71040","20","2460","26650.00","10605.65","-151.28%","-60.2%","0","60"
"AMLODIPINE 10MG TABLET","69097-0128-15","-57855","37","2430","7290.00","135.77","-5269.37%","-98.14%","0","1000"
"RESTASIS 0.05% EMULSION ***","00023-9163-60","-105360","24","2400","36000.00","24475.48","-47.09%","-32.01%","0","60"
"KETOCONAZOLE 2 % EXTERNAL SHAMPOO","70954-0662-10","-20040","17","2040","680.00","193.09","-252.17%","-71.6%","0","120"
"OXYCODONE-APAP 10-325MG TABLET","47781-0230-05","464","20","1990","6076.80","380.38","-1497.56%","-93.74%","0","500"
"TAMSULOSIN 0.4MG CAPSULE","65862-0598-05","-89887","28","1950","7074.11","221.93","-3087.54%","-96.86%","0","500"
"PEN NEEDLES ALL","08290-3201-22","-80545","16","1900","902.31","1169.10","22.82%","29.57%","0","100"
"LACTULOSE 10 GM/15ML ORAL SOLUTION","00116-4005-16","-5443","4","1892","119.36","54.16","-120.38%","-54.62%","0","473"
"FAMOTIDINE 20MG TABLET","67877-0842-10","-9031","25","1858","3869.81","93.40","-4043.27%","-97.59%","0","1000"
"XIIDRA 5 % OPHTHALMIC SOLUTION*****","24208-0911-12","-22320","19","1620","27000.00","18863.92","-43.13%","-30.13%","0","60"
"METOPROLOL SUCCINATE ER 25MG TABLET","70010-0780-05","-7685","17","1590","1669.63","202.99","-722.52%","-87.84%","0","500"
"ATORVASTATIN 80MG  TABLET","70377-0080-13","-9030","21","1470","7299.04","123.22","-5823.58%","-98.31%","0","1000"
"IBUPROFEN 100 MG/5ML SUSPENSION","59651-0032-12","-8156","8","1440","240.00","116.03","-106.84%","-51.65%","0","120"
"LACTULOSE 10 GM/15ML ORAL SOLUTION","00121-0873-16","-151582","3","1419","89.52","38.39","-133.19%","-57.12%","0","473"
"SIMVASTATIN 20MG TABLET","16729-0005-17","-42510","19","1410","2820.00","40.07","-6937.68%","-98.58%","0","1000"
"AMMONIUM LACTATE 12 % EXTERNAL CREAM","51672-1301-04","-30940","5","1400","250.00","98.24","-154.48%","-60.7%","0","280"
"JARDIANCE 25MG TAB ***","00597-0153-30","-51690","22","1380","32200.00","10983.10","-193.18%","-65.89%","0","30"
"ATORVASTATIN 10MG TABLET","70377-0077-13","-7464","22","1380","4803.66","92.66","-5084.18%","-98.07%","0","1000"
"LISINOPRIL 40MG TABLET","68180-0979-03","-34189","17","1350","1789.79","61.42","-2814.02%","-96.57%","0","1000"
"ALBUTEROL SULFATE (2.5 MG/3ML) 0.083% INHALATION NEBULIZATION SOLUTION","76204-0200-30","-44910","8","1350","515.10","122.67","-319.91%","-76.19%","0","90"
"HYDROCHLOROTHIAZIDE 25MG TABLET","23155-0008-10","-53695","18","1320","26.97","6.65","-305.56%","-75.34%","0","1000"
"OMEPRAZOLE 20MG CAPSULE DR","00781-2868-10","-55570","28","1286","4919.90","76.82","-6304.45%","-98.44%","0","1000"
"IBUPROFEN 600 MG TABLET","69367-0395-05","-5861","29","1255","590.97","137.00","-331.36%","-76.82%","0","500"
"PANTOPRAZOLE 40MG TAB ***","65862-0560-99","-54942","25","1230","4534.92","123.06","-3585.13%","-97.29%","0","1000"
"LOSARTAN 100MG TABLET","65862-0203-99","-57731","14","1140","3021.50","99.02","-2951.4%","-96.72%","0","1000"
"FLUTICASONE 50MCG (NASAL) SUSPENSION","60505-0829-01","-41408","66","1120","4177.60","730.75","-471.69%","-82.51%","0","16"
"JARDIANCE 10MG TAB ***","00597-0152-30","-44246","15","1110","25530.00","9412.24","-171.24%","-63.13%","0","30"
"PROMETHAZINE HCL 6.25 MG/5ML ORAL SOLUTION","70752-0138-12","-10451","5","1093","95.39","59.72","-59.73%","-37.39%","0","473"
"ROSUVASTATIN 40MG TABLET","70377-0009-13","-34830","15","1050","9660.00","175.89","-5392.07%","-98.18%","0","500"
"METOPROLOL SUCCINATE ER 100MG TABLET","70010-0782-05","-3990","11","1050","1711.16","198.03","-764.09%","-88.43%","0","500"
"TRAZODONE 50MG TABLET","50111-0560-03","-30203","16","1035","569.49","60.79","-836.82%","-89.33%","0","1000"
"JANUVIA 100MG TAB","00006-0277-31","-32818","12","1020","21760.00","5798.21","-275.29%","-73.35%","0","30"
"JANUMET 50-1000MG TABLET","00006-0577-61","-36660","7","1020","10880.00","5293.53","-105.53%","-51.35%","0","60"
"CLOPIDOGREL BISULFATE 75 MG ORAL TABLET","43598-0121-05","-4676","13","990","5926.70","99.20","-5874.5%","-98.33%","0","500"
"AMLODIPINE 2.5MG TABLET","67877-0197-10","-28880","11","990","1980.00","29.52","-6607.32%","-98.51%","0","1000"
"VASCEPA 1GM CAPSULE","52937-0001-20","-26820","6","990","3006.14","2751.98","-9.24%","-8.45%","0","120"
"OXYCODONE-ACETAMINOPHEN 10-325MG TABLET","47781-0230-01","61","9","975","2977.34","181.35","-1541.76%","-93.91%","0","100"
"ROSUVASTATIN 20MG TABLET","68462-0263-10","-4080","13","930","7154.09","87.66","-8061.18%","-98.77%","0","1000"
"TRIAMCINOLONE ACETONIDE 0.1% CREAM","67877-0251-45","-25424","2","908","43.86","27.13","-61.67%","-38.14%","0","454"
"SPIRONOLACTONE 25MG TABLET","68382-0660-10","-4275","15","900","334.88","90.71","-269.18%","-72.91%","0","1000"
"LISINOPRIL 10MG TABLET","68180-0980-03","-26623","12","900","619.89","39.43","-1472.13%","-93.64%","0","1000"
"GABAPENTIN 100MG CAPSULE","67877-0222-10","-74795","16","879","327.97","24.25","-1252.45%","-92.61%","0","1000"
"MONTELUKAST 10MG TAB ***","29300-0220-10","-5610","17","870","4227.33","117.48","-3498.34%","-97.22%","0","1000"
"FOLIC ACID 1MG TABLET **","69315-0127-10","-31220","14","840","84.00","148.92","43.59%","77.29%","0","1000"
"CARVEDILOL 25 MG TABLET ***","72888-0037-00","-4770","6","840","1543.68","30.55","-4952.96%","-98.02%","0","1000"
"OMEGA-3-ACID ETHYL ESTERS 1 GM ORAL CAPSULE","65162-0034-16","-13560","6","840","1715.92","157.85","-987.06%","-90.8%","0","120"
"METOPROLOL TARTRATE 25MG TABLET","57237-0100-99","-12330","5","840","175.19","25.31","-592.18%","-85.55%","0","1000"
"DAPAGLIFLOZIN PROPANEDIOL 10MG TABLET","66993-0457-30","-1590","11","810","15412.41","4909.37","-213.94%","-68.15%","0","30"
"IBUPROFEN 800MG TAB ****","67877-0321-05","-20252","18","784","441.80","72.22","-511.74%","-83.65%","0","500"
"LOSARTAN 50MG TABLET","65862-0202-99","-45024","12","780","1517.70","71.18","-2032.2%","-95.31%","0","1000"
"EZETIMIBE 10MG TABLET***","67877-0490-05","-37611","10","780","6896.50","137.56","-4913.45%","-98.01%","0","500"
"ESCITALOPRAM 10MG TABLET","13668-0136-10","-18130","13","765","2846.50","79.68","-3472.41%","-97.2%","0","1000"
"METOPROLOL SUCCINATE 50MG TABLET ER","45963-0676-96","-40237","9","750","679.67","86.91","-682.04%","-87.21%","0","1000"
"ROSUVASTATIN 10 MG ORAL TABLET","69367-0360-05","-2260","9","750","5555.58","71.37","-7684.2%","-98.72%","0","500"
"LOSARTAN HCTZ 100-25MG TABLET","00093-7368-10","-12314","9","750","2198.00","121.95","-1702.38%","-94.45%","0","1000"
"LOSARTAN POTASSIUM 25MG TABLET","68180-0376-03","-37355","13","720","1041.84","42.24","-2366.48%","-95.95%","0","1000"
"LOSARTAN-HCTZ 50-12.5 MG TABLET","33342-0050-44","-9960","10","720","1548.65","70.15","-2107.63%","-95.47%","0","1000"
"LINZESS 290MCG CAP ***","00456-1202-30","-11850","12","720","14400.00","6441.84","-123.54%","-55.26%","0","30"
