"Drug Name","NDC #","QOH","Total Rxs","Quantity","Acq Cost","Total","Margin","Profit Pct","Min QOH","Pkg Size",
"GAVILYTE G SOLUTION ***","43386-0090-19","-1380001","106","444000","8400.00","1971.52","-326.07%","-76.53%","0","4000"
"POLYETHYLENE GLYCOL 3350 17GM/SCOOP POWDER","00536-1052-27","-600780","437","232560","7802.16","8716.36","10.49%","11.72%","0","510"
"DICLOFENAC SODIUM 1 % EXT GEL **NYM**","43598-0977-10","-156900","867","130900","20588.91","13575.42","-51.66%","-34.06%","0","100"
"CONTOUR NEXT TEST  STRIPS*****","00193-7311-50","-128100","764","95850","134190.00","99858.41","-34.38%","-25.58%","0","50"
"LANCETS CHOICE [CVS]","98302-0140-71","-92300","561","68500","51375.00","23608.94","-117.61%","-54.05%","0","100"
"AMMONIUM LACTATE 12 % EXTERNAL LOTION","51672-1300-09","-180800","163","65200","12184.98","2497.10","-387.97%","-79.51%","0","400"
"REGULOID 28.3 % ORAL POWDER","80681-0096-00","-153502","151","55717","981.46","1255.39","21.82%","27.91%","0","369"
"AMLODIPINE 5MG TABLET ***","69097-0127-15","-107353","635","48600","72300.69","2551.65","-2733.49%","-96.47%","0","1000"
"AMMONIUM LACTATE 12 % EXTERNAL CREAM","51672-1301-00","-109725","116","48510","7379.22","3133.08","-135.53%","-57.54%","0","385"
"ASPIRIN 81MG TABLET DR","00904-6751-80","-141627","574","42876","8575.20","5916.25","-44.94%","-31.01%","0","1000"
"ALCOHOL PADS ULTICARE","08222-4400-06","-213300","279","40300","26195.00","1892.33","-1284.27%","-92.78%","0","100"
"RESTASIS 0.05% EMULSION ***","00023-9163-60","-107700","346","38280","532180.00","388147.12","-37.11%","-27.06%","0","60"
"CHLORHEXIDINE 0.12% SOLUTION ***","00116-2001-16","-113047","75","36421","7700.00","471.40","-1533.43%","-93.88%","0","473"
"TAMSULOSIN 0.4MG CAPSULE","65862-0598-05","-94175","450","35288","128015.97","3044.05","-4105.45%","-97.62%","0","500"
"ACETAMINOPHEN EXTRA STRENGTH 500MG TABLET **** NYM","00904-6720-40","-110704","297","34076","2385.32","3477.30","31.4%","45.78%","0","500"
"OMEPRAZOLE 40MG CAPSULE DR","68462-0397-10","-95201","587","33918","215718.34","3158.32","-6730.16%","-98.54%","0","1000"
"PEN NEEDLES ALL","08290-3201-22","-84145","235","28300","13439.67","15821.85","15.06%","17.72%","0","100"
"ELIQUIS 5MG TAB ***","00003-0894-21","-73768","240","27780","300950.00","209107.26","-43.92%","-30.52%","0","60"
"METFORMIN HCL 500 MG TABLET","70010-0063-10","-28692","222","27270","16510.47","756.10","-2083.64%","-95.42%","0","1000"
"ATORVASTATIN 20MG TAB ***","60505-2579-08","-104962","346","25380","102580.02","1897.23","-5306.83%","-98.15%","0","1000"
"METFORMIN 1000MG TABLET","70010-0065-99","-26080","191","24870","30841.68","1143.01","-2598.29%","-96.29%","0","1000"
"ATORVASTATIN 40MG TABLET","70377-0079-13","-25560","307","24750","122892.00","2245.56","-5372.67%","-98.17%","0","1000"
"CALCIUM-VIT D 600-400MG TAB ***","80681-0139-00","-72554","232","23460","403.80","580.36","30.42%","43.72%","0","150"
"JARDIANCE 25MG TAB ***","00597-0153-30","-54270","327","23250","542500.00","341200.29","-59%","-37.11%","0","30"
"GABAPENTIN 300MG CAPSULE","67877-0223-10","-117212","241","23234","21646.90","939.27","-2204.65%","-95.66%","0","1000"
"KETOCONAZOLE 2 % EXTERNAL SHAMPOO","70954-0662-10","-23520","188","22560","6611.30","2170.69","-204.57%","-67.17%","0","120"
"GABAPENTIN 100MG CAPSULE","67877-0222-10","-77064","251","22048","8226.23","998.56","-723.81%","-87.86%","0","1000"
"PANTOPRAZOLE 40MG TAB ***","65862-0560-99","-57384","359","21562","79497.12","1979.91","-3915.19%","-97.51%","0","1000"
"AMLODIPINE 10MG TABLET","69097-0128-15","-61205","292","20970","62910.00","1169.55","-5278.99%","-98.14%","0","1000"
"ACETAMINOPHEN CHILDRENS 160 MG/5ML ORAL SOLUTION","00904-7014-20","-36344","123","20414","403.09","1392.42","71.05%","245.44%","0","118"
"OMEPRAZOLE 20MG CAPSULE DR","00781-2868-10","-57112","426","20274","77563.08","1394.70","-5461.27%","-98.2%","0","1000"
"ATORVASTATIN 20MG TABLET","70377-0078-13","-20596","262","20040","99505.28","1427.73","-6869.47%","-98.57%","0","1000"
"XIIDRA 5 % OPHTHALMIC SOLUTION*****","24208-0911-12","-23700","234","19680","328000.00","224364.60","-46.19%","-31.6%","0","60"
"JARDIANCE 10MG TAB ***","00597-0152-30","-46106","287","19230","442290.00","294557.62","-50.15%","-33.4%","0","30"
"ATORVASTATIN 40MG TABLET ***","60505-2580-08","-109784","249","18570","75055.60","1553.14","-4732.51%","-97.93%","0","1000"
"LOSARTAN 100MG TABLET","65862-0203-99","-59321","222","18510","49059.65","1423.61","-3346.14%","-97.1%","0","1000"
"AMMONIUM LACTATE 12 % EXTERNAL CREAM","51672-1301-04","-32760","69","18480","3031.93","1213.39","-149.87%","-59.98%","0","280"
"FERROUS SULFATE 325MG TABLET (NYM)******","00245-0108-11","-32850","346","18315","6860.21","1832.25","-274.41%","-73.29%","0","100"
"DOCUSATE SODIUM 100MG CAPSULE ****NYM","00904-7280-80","-36195","248","18292","365.84","2674.39","86.32%","631.03%","0","1000"
"GABAPENTIN 300 MG CAPSULE","67877-0223-05","-18430","192","18040","20644.98","981.57","-2003.26%","-95.25%","0","500"
"METFORMIN 1000MG TABLET","70010-0065-05","-29463","142","17610","21838.55","1040.53","-1998.79%","-95.24%","0","500"
