Invoice Date,Invoice Number,Item #,Size,Description,NDC/UPC,Ship Qty,Invoice $,Type
5/1/2025,7419918193,4785051,30 EA,LINZESS CP 145MCG 30,456120130,5,"$2,733.35 ",Branded Drug
5/1/2025,7419918193,5009444,30 EA,JARDIANCE TB 10MG 30,597015230,3,"$1,817.49 ",Branded Drug
5/1/2025,7419918193,5830005,3 ML,OZEMPIC SY0.25 OR 0.5MG 3ML PPN,169418113,3,"$2,880.51 ",Branded Drug
5/1/2025,7419950687,4785051,30 EA,LINZESS CP 145MCG 30,456120130,5,"$2,761.75 ",Branded Drug
5/1/2025,7419950687,5009444,30 EA,JARDIANCE TB 10MG 30,597015230,6,"$3,672.72 ",Branded Drug
5/3/2025,7420114906,5009444,30 EA,JARDIANCE TB 10MG 30,597015230,5,"$3,060.60 ",Branded Drug
5/3/2025,7420114906,5467634,2.5 ML,VYZULTA DR 0.024% 2.5ML OPTH,24208050402,3,$756.12 ,Branded Drug
5/3/2025,7420147932,5423470,30 EA,BIKTARVY 50-200-25MG TB 30 CPLT,61958250101,1,"$4,110.70 ",Branded Drug
5/3/2025,7420147932,5467634,2.5 ML,VYZULTA DR 0.024% 2.5ML OPTH,24208050402,2,$504.08 ,Branded Drug
5/3/2025,7420147934,5671854,4X0.5ML,TRULICITY SY 3MG/0.5ML 4 PPN,2223680,0,$0.00 ,Branded Drug
5/3/2025,7420147934,5728308,4X0.5ML,WEGOVY SY 1MG/0.5ML 4X0.5ML PPN,169450114,1,"$1,311.92 ",Branded Drug
5/3/2025,7420147934,5830005,3 ML,OZEMPIC SY0.25 OR 0.5MG 3ML PPN,169418113,0,$0.00 ,Branded Drug
5/3/2025,7420147934,5904263,60X10ML,EOHILIA PK 2MG/10ML 60X10ML OSUS,64764010560,1,"$1,914.61 ",Branded Drug
5/5/2025,7420335150,5671854,4X0.5ML,TRULICITY SY 3MG/0.5ML 4 PPN,2223680,1,$960.04 ,Branded Drug
5/5/2025,7420335150,5830005,3 ML,OZEMPIC SY0.25 OR 0.5MG 3ML PPN,169418113,3,"$2,910.95 ",Branded Drug
5/5/2025,7420335152,3965316,60 EA,JANUMET TB 50-1000MG 60,6057761,9,"$2,888.37 ",Branded Drug
5/5/2025,7420335152,4806725,60 EA,ELIQUIS TB 5MG 60,3089421,6,"$3,537.72 ",Branded Drug
5/5/2025,7420335152,5108733,60 EA,ENTRESTO TB 97-103MG 60,78069620,0,$0.00 ,Branded Drug
5/5/2025,7420349244,5108733,60 EA,ENTRESTO TB 97-103MG 60,78069620,5,"$3,429.60 ",Branded Drug
5/5/2025,7420349245,4341327,5X3ML,INS LANTUS SOLOSTAR SY 100U/ML5X3,88221905,4,$374.92 ,Branded Drug
5/5/2025,7420349245,4341509,7.5 ML,LUMIGAN DR 0.01% 7.5ML,23320508,2,"$1,539.50 ",Branded Drug
5/5/2025,7420349245,4806725,60 EA,ELIQUIS TB 5MG 60,3089421,6,"$3,537.72 ",Branded Drug
5/5/2025,7420349245,5009469,30 EA,JARDIANCE TB 25MG 30,597015330,6,"$3,672.72 ",Branded Drug
5/5/2025,7420349245,5307012,5X3ML,INS BASAGLAR K/P SY 100U/ML 5X3ML,2771559,5,"$1,586.95 ",Branded Drug
5/5/2025,7420349245,5705280,30 EA,GEMTESA TB 75MG 30 1/D,73336007530,5,"$2,435.60 ",Branded Drug
5/5/2025,7420349245,5717681,100 EA,ZENPEP CP 40000U 100 DR,73562011401,1,"$1,584.06 ",Branded Drug
5/5/2025,7420349245,5761507,90 EA,CRESTOR TB 5MG 90,310756090,1,$806.82 ,Branded Drug
5/5/2025,7420349245,5830005,3 ML,OZEMPIC SY0.25 OR 0.5MG 3ML PPN,169418113,5,"$4,850.75 ",Branded Drug
5/6/2025,7420502942,3739232,18 GM,VENTOLIN HFA IN 90MCG 18GM W/DCTR,173068220,2,$110.90 ,Branded Drug
5/6/2025,7420502942,4785069,30 EA,LINZESS CP 290MCG 30,456120230,1,$552.35 ,Branded Drug
5/6/2025,7420502942,5009469,30 EA,JARDIANCE TB 25MG 30,597015330,3,"$1,836.36 ",Branded Drug
5/6/2025,7420502942,5027016,4X0.5ML,TRULICITY SY 0.75MG/0.5ML 4 PPN,2143380,5,"$4,800.20 ",Branded Drug
5/6/2025,7420502942,5108634,60 EA,ENTRESTO TB 49-51MG 60,78077720,3,"$2,057.46 ",Branded Drug
5/6/2025,7420502942,5168844,3X3ML,INS TRESIBA FLXTC SY 200U/ML3X3ML,169255013,1,$593.33 ,Branded Drug
5/6/2025,7420502942,5707542,3 ML,OZEMPIC SY 1MG 3ML PPN,169413013,0,$0.00 ,Branded Drug
5/6/2025,7420502942,5753009,30 EA,RYBELSUS TB 14MG 30UU 1/D,169431430,0,$0.00 ,Branded Drug
5/6/2025,7420502942,5787205,4X0.5ML,MOUNJARO SY 10MG/0.5ML 4 PPN,2147180,0,$0.00 ,Branded Drug
5/6/2025,7420525890,5707542,3 ML,OZEMPIC SY 1MG 3ML PPN,169413013,1,$970.15 ,Branded Drug
5/6/2025,7420525890,5753009,30 EA,RYBELSUS TB 14MG 30UU 1/D,169431430,1,$970.65 ,Branded Drug
5/6/2025,7420525890,5787205,4X0.5ML,MOUNJARO SY 10MG/0.5ML 4 PPN,2147180,1,"$1,050.08 ",Branded Drug
5/6/2025,7420525891,4026100,4X10ML,NICOTROL NS SN 10MG/ML 4X10ML,9540101,1,$527.43 ,Branded Drug
5/6/2025,7420525891,5410196,30 EA,JULUCA TB 50-25MG 30,49702024213,1,"$3,561.41 ",Branded Drug
5/6/2025,7420525891,5717038,30 EA,QELBREE CP 150MG 30 ER,17772013230,1,$367.11 ,Branded Drug
5/7/2025,7420681364,5036595,30 EA,XIGDUO XR TB 5-500MG 30 CPLT,310625030,6,"$3,499.38 ",Branded Drug
5/7/2025,7420681364,5108600,60 EA,ENTRESTO TB 24-26MG 60,78065920,3,"$2,057.46 ",Branded Drug
5/7/2025,7420681364,5671862,4X0.5ML,TRULICITY SY 4.5MG/0.5ML 4 PPN,2318280,2,"$1,920.08 ",Branded Drug
5/7/2025,7420698338,5780358,3 ML,OZEMPIC SY 2MG 3ML PPN,169477212,3,"$2,910.45 ",Branded Drug
5/8/2025,7420859330,3878501,30 EA,JANUVIA TB 100MG 30UU,6027731,9,"$2,888.37 ",Branded Drug
5/8/2025,7420859330,5787197,4X0.5ML,MOUNJARO SY 7.5MG/0.5ML 4 PPN,2148480,2,"$2,100.16 ",Branded Drug
5/8/2025,7420896840,1289974,35 ML,DRYSOL SL 20% 35ML DBMT,96070735,1,$8.27 ,Branded Drug
5/8/2025,7420896840,5423470,30 EA,BIKTARVY 50-200-25MG TB 30 CPLT,61958250101,1,"$4,110.70 ",Branded Drug
5/8/2025,7420896840,5787239,4X0.5ML,MOUNJARO SY 2.5MG/0.5ML 4 PPN,2150680,1,"$1,050.08 ",Branded Drug
5/9/2025,7421043130,4341509,7.5 ML,LUMIGAN DR 0.01% 7.5ML,23320508,3,"$2,309.25 ",Branded Drug
5/9/2025,7421043130,5225289,30 EA,VRAYLAR CP 3MG 30,61874013030,1,"$1,477.11 ",Branded Drug
5/9/2025,7421043130,5707542,3 ML,OZEMPIC SY 1MG 3ML PPN,169413013,3,"$2,910.45 ",Branded Drug
5/9/2025,7421054814,1115237,60 ML,XERAC AC SL 6.25% 60ML,96070960,1,$9.74 ,Branded Drug
5/9/2025,7421054814,4141412,120 EA,APRISO CP 0.375GM 120 ER,65649010302,1,$496.28 ,Branded Drug
5/9/2025,7421054814,5307012,5X3ML,INS BASAGLAR K/P SY 100U/ML 5X3ML,2771559,5,"$1,586.95 ",Branded Drug
5/9/2025,7421054814,5780358,3 ML,OZEMPIC SY 2MG 3ML PPN,169477212,1,$970.15 ,Branded Drug
5/9/2025,7421054814,5787189,4X0.5ML,MOUNJARO SY 5MG/0.5ML 4 PPN,2149580,1,"$1,050.08 ",Branded Drug
5/10/2025,7421092676,4896676,60 EA,BREO ELLIPTA IN 100-25MCG 30INH,173085910,1,$396.02 ,Branded Drug
5/10/2025,7421092676,5322763,5.5 ML,RESTASIS MULTIDOSE DR 0.05% 5.5ML,23530105,2,"$1,255.76 ",Branded Drug
5/10/2025,7421092676,5488937,2X1ML,REPATHA SRCLCK SY 140MG 2X1ML PPN,72511076002,3,"$1,670.85 ",Branded Drug
5/10/2025,7421092676,5858964,3 ML,MIEBO DR 1.338G/ML 3ML STERILE SL,24208037705,1,$779.79 ,Branded Drug
5/12/2025,7421275580,1409812,100 EA,NEURONTIN CP 400MG 100,71080624,2,"$1,722.32 ",Branded Drug
5/12/2025,7421275580,5752993,30 EA,RYBELSUS TB 7MG 30UU 1/D,169430730,0,$0.00 ,Branded Drug
5/12/2025,7421292861,4034740,5 ML,DELESTROGEN MD 20MG/ML 5ML,42023011101,1,$181.93 ,Branded Drug
5/13/2025,7421451665,5009469,30 EA,JARDIANCE TB 25MG 30,597015330,6,"$3,672.72 ",Branded Drug
5/13/2025,7421451665,5018437,4X0.4ML,RASUVO SY 20MG/0.4ML 4X0.4ML,59137053004,1,$566.48 ,Branded Drug
5/13/2025,7421451665,5108600,60 EA,ENTRESTO TB 24-26MG 60,78065920,3,"$2,057.46 ",Branded Drug
5/13/2025,7421451665,5245980,30 EA,TRINTELLIX TB 10MG 30,64764073030,1,$500.01 ,Branded Drug
5/13/2025,7421451665,5780358,3 ML,OZEMPIC SY 2MG 3ML PPN,169477212,6,"$5,820.90 ",Branded Drug
5/13/2025,7421451665,5787239,4X0.5ML,MOUNJARO SY 2.5MG/0.5ML 4 PPN,2150680,2,"$2,100.16 ",Branded Drug
5/13/2025,7421451665,5830005,3 ML,OZEMPIC SY0.25 OR 0.5MG 3ML PPN,169418113,3,"$2,910.45 ",Branded Drug
5/13/2025,7421451665,5874078,10.7 GM,AIRSUPRA IN 90-80MCG10.7GM 120INH,310908012,1,$475.80 ,Branded Drug
5/13/2025,7421470129,5009469,30 EA,JARDIANCE TB 25MG 30,597015330,3,"$1,836.36 ",Branded Drug
5/13/2025,7421470129,5728316,4X0.75ML,WEGOVY SY 1.7MG/0.75ML 4X0.75ML,169451714,3,"$3,935.76 ",Branded Drug
5/13/2025,7421478853,4785051,30 EA,LINZESS CP 145MCG 30,456120130,-2,"($1,093.34)",Branded Drug
5/14/2025,7421621838,5884911,4X0.5ML,ZEPBOUND SY 2.5MG/0.5ML 4 PPN,2250680,1,"$1,056.49 ",Branded Drug
5/14/2025,7421640341,4034740,5 ML,DELESTROGEN MD 20MG/ML 5ML,42023011101,2,$363.86 ,Branded Drug
5/14/2025,7421640341,4785051,30 EA,LINZESS CP 145MCG 30,456120130,6,"$3,314.10 ",Branded Drug
5/15/2025,7421812440,3878485,30 EA,JANUVIA TB 50MG 30UU,6011231,5,"$1,604.65 ",Branded Drug
5/15/2025,7421812440,5009444,30 EA,JARDIANCE TB 10MG 30,597015230,3,"$1,836.36 ",Branded Drug
5/15/2025,7421812440,5327150,30 EA,LINZESS CP 72MCG 30,456120330,3,"$1,657.05 ",Branded Drug
5/15/2025,7421812440,5671862,4X0.5ML,TRULICITY SY 4.5MG/0.5ML 4 PPN,2318280,3,"$2,880.12 ",Branded Drug
5/15/2025,7421812440,5707542,3 ML,OZEMPIC SY 1MG 3ML PPN,169413013,1,$970.15 ,Branded Drug
5/15/2025,7421812440,5787197,4X0.5ML,MOUNJARO SY 7.5MG/0.5ML 4 PPN,2148480,4,"$4,200.32 ",Branded Drug
5/15/2025,7421812440,5874078,10.7 GM,AIRSUPRA IN 90-80MCG10.7GM 120INH,310908012,1,$475.80 ,Branded Drug
5/15/2025,7421827843,5707542,3 ML,OZEMPIC SY 1MG 3ML PPN,169413013,3,"$2,910.45 ",Branded Drug
5/16/2025,7421992932,4806725,60 EA,ELIQUIS TB 5MG 60,3089421,6,"$3,537.72 ",Branded Drug
5/16/2025,7421992932,5483250,30 EA,ZTLIDO AP 1.8% 30 TOP,69557011130,2,$731.12 ,Branded Drug
5/16/2025,7421992932,5603592,8 EA,NURTEC ODT TD 75MG 8 BPK,72618300002,2,"$2,001.38 ",Branded Drug
5/16/2025,7421992932,5671854,4X0.5ML,TRULICITY SY 3MG/0.5ML 4 PPN,2223680,3,"$2,880.12 ",Branded Drug
5/16/2025,7421992932,5707542,3 ML,OZEMPIC SY 1MG 3ML PPN,169413013,3,"$2,910.45 ",Branded Drug
5/16/2025,7421992932,5734090,30 EA,KERENDIA TB 10MG 30,50419054001,4,"$2,671.28 ",Branded Drug
5/16/2025,7421992932,5879325,10 ML,INS GLARGINE-YFGN MD 100U/ML 10ML,83257001411,2,$122.48 ,Branded Drug
5/16/2025,7421992932,5899398,2 EA,BAQSIMI SN 3MG 2 TWO PK NSL,548835202,1,$579.38 ,Branded Drug
5/16/2025,7422014194,5862495,30 EA,MOVANTIK TB 25MG 30,82625880201,1,$424.39 ,Branded Drug
5/17/2025,7422044740,4418927,90 EA,SYNTHROID TB 75MCG 90,74518290,1,$144.96 ,Branded Drug
5/17/2025,7422044740,5488937,2X1ML,REPATHA SRCLCK SY 140MG 2X1ML PPN,72511076002,2,"$1,113.90 ",Branded Drug
5/17/2025,7422044740,5707542,3 ML,OZEMPIC SY 1MG 3ML PPN,169413013,2,"$1,940.30 ",Branded Drug
5/17/2025,7422044740,5787239,4X0.5ML,MOUNJARO SY 2.5MG/0.5ML 4 PPN,2150680,1,"$1,050.08 ",Branded Drug
5/19/2025,7422249708,5787189,4X0.5ML,MOUNJARO SY 5MG/0.5ML 4 PPN,2149580,1,"$1,050.08 ",Branded Drug
5/19/2025,7422262831,4584736,30 GM,PREMARIN CR 0.625MG/GM 30GM W/APL,46087221,1,$448.18 ,Branded Drug
5/19/2025,7422262831,5009469,30 EA,JARDIANCE TB 25MG 30,597015330,3,"$1,836.36 ",Branded Drug
5/19/2025,7422262831,5047667,30 EA,FARXIGA TB 10MG 30,310621030,3,"$1,749.69 ",Branded Drug
5/19/2025,7422262831,5134267,60 EA,SYNJARDY TB 5-1000MG 60,597017560,1,$612.12 ,Branded Drug
5/19/2025,7422262831,5488937,2X1ML,REPATHA SRCLCK SY 140MG 2X1ML PPN,72511076002,3,"$1,670.85 ",Branded Drug
5/19/2025,7422262831,5780358,3 ML,OZEMPIC SY 2MG 3ML PPN,169477212,3,"$2,910.45 ",Branded Drug
5/19/2025,7422262831,5787213,4X0.5ML,MOUNJARO SY 12.5MG/0.5ML 4 PPN,2146080,1,"$1,050.08 ",Branded Drug
5/19/2025,7422262831,5830005,3 ML,OZEMPIC SY0.25 OR 0.5MG 3ML PPN,169418113,2,"$1,940.30 ",Branded Drug
5/20/2025,7422422094,4486387,10X0.5ML,BOOSTRIX SY 10X0.5ML TPLK PF,58160084252,1,$474.67 ,Branded Drug
5/20/2025,7422422094,5307012,5X3ML,INS BASAGLAR K/P SY 100U/ML 5X3ML,2771559,5,"$1,586.95 ",Branded Drug
5/20/2025,7422422094,5400270,60 EA,TRELEGY ELLIP IN100-62.5-25MCG 60,173088710,1,$658.78 ,Branded Drug
5/20/2025,7422422094,5753009,30 EA,RYBELSUS TB 14MG 30UU 1/D,169431430,0,$0.00 ,Branded Drug
5/20/2025,7422422094,5830005,3 ML,OZEMPIC SY0.25 OR 0.5MG 3ML PPN,169418113,4,"$3,880.60 ",Branded Drug
5/20/2025,7422440389,5753009,30 EA,RYBELSUS TB 14MG 30UU 1/D,169431430,1,$970.65 ,Branded Drug
5/20/2025,7422440390,4785069,30 EA,LINZESS CP 290MCG 30,456120230,4,"$2,209.40 ",Branded Drug
5/20/2025,7422440390,5009469,30 EA,JARDIANCE TB 25MG 30,597015330,3,"$1,836.36 ",Branded Drug
5/20/2025,7422440390,5484647,5X3ML,INS NOVOLIN 70/30 SY 5X3ML,169300715,1,$88.59 ,Branded Drug
5/20/2025,7422440390,5884952,4X0.5ML,ZEPBOUND SY 12.5MG/0.5ML 4 PPN,2246080,1,"$1,056.49 ",Branded Drug
5/20/2025,7422440390,5952403,2.5 ML,XALATAN DR 0.005% 2.5ML,58151041935,1,$262.17 ,Branded Drug
5/21/2025,7422607841,5707542,3 ML,OZEMPIC SY 1MG 3ML PPN,169413013,3,"$2,910.45 ",Branded Drug
