Invoice Date,Invoice Number,Item #,Size,Description,NDC/UPC,Ship Qty,Invoice $,Type
3/2/2026,7463033890,5671862,4X0.5ML,TRULICITY SY 4.5MG/0.5ML 4 PPN,2318280,3,"$2,907.51 ",Branded Drug
3/2/2026,7463048035,4341327,5X3ML,INS LANTUS SOLOSTAR SY 100U/ML5X3,88221905,4,$371.08 ,Branded Drug
3/2/2026,7463048035,5009469,30 EA,JARDIANCE TB 25MG 30,597015330,6,"$2,021.28 ",Branded Drug
3/2/2026,7463048035,5603592,8 EA,NURTEC ODT TD 75MG 8 BPK,72618300002,2,"$2,069.94 ",Branded Drug
3/2/2026,7463048035,5707542,3 ML,OZEMPIC SY 1MG 3ML PPN,169413013,5,"$4,944.90 ",Branded Drug
3/2/2026,7463048035,5787213,4X0.5ML,MOUNJARO SY 12.5MG/0.5ML 4 PPN,2146080,1,"$1,070.45 ",Branded Drug
3/2/2026,7463048035,5830005,3 ML,OZEMPIC SY0.25 OR 0.5MG 3ML PPN,169418113,5,"$4,944.90 ",Branded Drug
3/2/2026,7463048035,5884952,4X0.5ML,ZEPBOUND SY 12.5MG/0.5ML 4 PPN,2246080,1,"$1,045.63 ",Branded Drug
3/3/2026,7463210068,3878501,30 EA,JANUVIA TB 100MG 30UU,6027731,5,"$1,588.15 ",Branded Drug
3/3/2026,7463210068,5530787,2.5 ML,ROCKLATAN DR0.02-0.005%2.5ML OPTH,70727052925,2,$701.10 ,Branded Drug
3/3/2026,7463210068,5787205,4X0.5ML,MOUNJARO SY 10MG/0.5ML 4 PPN,2147180,1,"$1,070.45 ",Branded Drug
3/3/2026,7463210068,5888219,5X3ML,INS GLARGINE-YFGN SY100U/ML 5X3ML,83257001532,2,$177.10 ,Branded Drug
3/3/2026,7463229076,4785051,30 EA,LINZESS CP 145MCG 30,456120130,5,"$1,359.45 ",Branded Drug
3/4/2026,7463394894,3878485,30 EA,JANUVIA TB 50MG 30UU,6011231,6,"$1,905.78 ",Branded Drug
3/4/2026,7463394894,3965290,60 EA,JANUMET TB 50-500MG 60,6057561,6,"$1,905.78 ",Branded Drug
3/4/2026,7463394894,4219325,60 EA,RESTASIS DR 0.05%60X0.4ML OPTH PF,23916360,16,"$9,942.72 ",Branded Drug
3/4/2026,7463394894,4341327,5X3ML,INS LANTUS SOLOSTAR SY 100U/ML5X3,88221905,3,$278.31 ,Branded Drug
3/4/2026,7463394894,4439485,30 EA,TRADJENTA TB 5MG 30,597014030,10,"$5,053.90 ",Branded Drug
3/4/2026,7463394894,4537429,30 EA,XARELTO TB 15MG 30,50458057830,4,"$2,355.52 ",Branded Drug
3/4/2026,7463394894,4785051,30 EA,LINZESS CP 145MCG 30,456120130,15,"$4,078.35 ",Branded Drug
3/4/2026,7463394894,4791794,120 EA,VASCEPA GC 1GM 120 SFG,52937000120,10,"$3,412.50 ",Branded Drug
3/4/2026,7463394894,5009444,30 EA,JARDIANCE TB 10MG 30,597015230,3,"$1,010.64 ",Branded Drug
3/4/2026,7463394894,5168810,5X3ML,INS TRESIBA FLXTC SY 100U/ML5X3ML,169266015,4,$544.52 ,Branded Drug
3/4/2026,7463394894,5222948,30 EA,VRAYLAR CP 1.5MG 30,61874011530,1,"$1,535.01 ",Branded Drug
3/4/2026,7463394894,5307012,5X3ML,INS BASAGLAR K/P SY 100U/ML 5X3ML,2771559,10,"$3,141.20 ",Branded Drug
3/4/2026,7463394894,5705280,30 EA,GEMTESA TB 75MG 30 1/D,73336007530,7,"$3,475.99 ",Branded Drug
3/4/2026,7463394894,5707542,3 ML,OZEMPIC SY 1MG 3ML PPN,169413013,1,$988.98 ,Branded Drug
3/4/2026,7463394894,5858964,3 ML,MIEBO DR 1.338G/ML 3ML STERILE SL,24208037705,20,"$15,898.60 ",Branded Drug
3/4/2026,7463394894,5865035,30 EA,IYUZEH DR 0.005% 30X0.2MLUU PF,82584000330,6,"$1,830.30 ",Branded Drug
3/4/2026,7463394894,5874078,10.7 GM,AIRSUPRA IN 90-80MCG10.7GM 120INH,310908012,2,$970.06 ,Branded Drug
3/4/2026,7463412200,5410196,30 EA,JULUCA TB 50-25MG 30,49702024213,1,"$3,668.25 ",Branded Drug
3/4/2026,7463412200,5671854,4X0.5ML,TRULICITY SY 3MG/0.5ML 4 PPN,2223680,3,"$2,907.51 ",Branded Drug
3/4/2026,7463412200,5979190,2X1ML,REPATHA SRCLCK SY 140MG 2X1ML PPN,72511039302,1,$562.25 ,Branded Drug
3/5/2026,7463580831,3878501,30 EA,JANUVIA TB 100MG 30UU,6027731,3,$952.89 ,Branded Drug
3/5/2026,7463580831,4785069,30 EA,LINZESS CP 290MCG 30,456120230,3,$815.67 ,Branded Drug
3/5/2026,7463580831,5036371,30 EA,XIGDUO XR TB 10-1000MG 30,310628030,2,"$1,154.46 ",Branded Drug
3/5/2026,7463580831,5168844,3X3ML,INS TRESIBA FLXTC SY 200U/ML3X3ML,169255013,1,$163.35 ,Branded Drug
3/5/2026,7463580831,5707542,3 ML,OZEMPIC SY 1MG 3ML PPN,169413013,1,$988.98 ,Branded Drug
3/5/2026,7463580831,5728316,4X0.75ML,WEGOVY SY 1.7MG/0.75ML 4X0.75ML,169451714,1,"$1,298.43 ",Branded Drug
3/5/2026,7463580831,5787189,4X0.5ML,MOUNJARO SY 5MG/0.5ML 4 PPN,2149580,1,"$1,070.45 ",Branded Drug
3/5/2026,7463580831,5979190,2X1ML,REPATHA SRCLCK SY 140MG 2X1ML PPN,72511039302,1,$562.25 ,Branded Drug
3/5/2026,7463598984,4806725,60 EA,ELIQUIS TB 5MG 60,3089421,3,$997.89 ,Branded Drug
3/5/2026,7463598984,5302955,30 EA,VEMLIDY TB 25MG 30,61958230101,1,"$1,556.09 ",Branded Drug
3/5/2026,7463598984,5728324,4X0.75ML,WEGOVY SY 2.4MG/0.75ML 4X0.75ML,169452414,1,"$1,298.43 ",Branded Drug
3/6/2026,7463780820,5009444,30 EA,JARDIANCE TB 10MG 30,597015230,5,"$1,684.40 ",Branded Drug
3/6/2026,7463780820,5410196,30 EA,JULUCA TB 50-25MG 30,49702024213,1,"$3,668.25 ",Branded Drug
3/6/2026,7463780820,5707542,3 ML,OZEMPIC SY 1MG 3ML PPN,169413013,1,$988.98 ,Branded Drug
3/7/2026,7463808540,3682028,30 EA,ROZEREM TB 8MG 30,64764080530,1,$374.44 ,Branded Drug
3/7/2026,7463808540,3878501,30 EA,JANUVIA TB 100MG 30UU,6027731,3,$952.89 ,Branded Drug
3/7/2026,7463808540,4806725,60 EA,ELIQUIS TB 5MG 60,3089421,6,"$1,995.78 ",Branded Drug
3/7/2026,7463808540,5009469,30 EA,JARDIANCE TB 25MG 30,597015330,6,"$2,021.28 ",Branded Drug
